link,price,actual_price,ratings,color,Brand,Model,Processor,RAM,Storage
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram-512gb-ssd-156-fhd-120hz-display-laptop-i128509518.html,52500.0,52500.0,3.0,Black,Dell,Vostro 3520 ,i3 12th Gen,8GB RAM,512GB SSD
https://www.daraz.com.np/products/dell-celeron-5470-intel-uhd-8256gb-ssd-i129342925.html,35800.0,40000.0,5.0,Black,Dell,Celeron 5470,Unknown,Unknown,256GB SSD
https://www.daraz.com.np/products/acer-aspire-3-ryzen-7-5700u-16-gb-ram-512-gb-ssd156-fhd-amd-gfx-win-11-i134922201.html,73990.0,89990.0,0.0,Silver,Acer,Aspire 3 Ryzen 7,AMD Gfx,Unknown,Unknown
https://www.daraz.com.np/products/acer-nitro-v-15-core-i5-13420h-13th-gen-16-gb-ddr5-ram-512-gb-ssd156-fhd-144-hrzrtx-2050-4gb-gfx-backlit-keyboard-win-11-i132059491.html,101990.0,119990.0,1.0,Black,Acer,Nitro V 15 Core ,i5-13420H,Unknown,Unknown
https://www.daraz.com.np/products/acer-swift-go-14-intel-evo-i5-13th-gen-13500h-16gb-ddr5-ram-512gb-nvme-ssd-intel-integrated-graphics-14inch-28k-oled-2880-x-1800-400nits-display-backlit-keyboard-silver-i128946946.html,104999.0,125000.0,5.0,Silver,Acer,Swift Go 14 Intel Evo ,i5 13th Gen,Unknown,Unknown
https://www.daraz.com.np/products/acer-aspire-5-core-i5-13th-gen8gb-ram512gb-ssd156-fhdwin-11-i128494367.html,71990.0,85000.0,8.0,Steel Gray,Acer,Aspire 5 Core ,i5 13th Gen,8GB RAM,512GB SSD
https://www.daraz.com.np/products/acer-nitro-v-15-i7-13th-gen-13620h-16gb-ddr5-512gb-ssd-rtx-3050-6gb-156-fhd-144hz-i135375667.html,127999.0,127999.0,0.0,Black,Acer,Nitro V 15 ,i7 13th Gen,Unknown,512GB SSD
https://www.daraz.com.np/products/acer-aspire-5-i5-13th-gen-8gb-lpddr5-512gb-nvme-ssd-intel-iris-xe-156-fhd-display-i129691491.html,71000.0,71000.0,1.0,Grey,Acer,Aspire 5 ,i5 13th Gen,Unknown,Unknown
https://www.daraz.com.np/products/acer-aspire-5-gaming-i5-12th-gen-8gb-ram-512gb-ssd-4gb-rtx-2050-graphics-156-inch-fhd-i129933205.html,84000.0,84000.0,1.0,Grey,Acer,Aspire 5 ,i5 12th Gen,Unknown,512GB SSD
https://www.daraz.com.np/products/asus-vivo-book-x1402z-core-i5-12th-gen8gb-ram512-gb-ssd14-fhd-displaymagic-numpad-win-11-i128491406.html,75990.0,92000.0,1.0,Silver,ASUS,Vivo Book X1402Z Core ,i5 12th Gen,8GB RAM,Unknown
https://www.daraz.com.np/products/lenovo-thinkbook-gen-4-i5-1235u-12th-gen-16gb-ddr4-ram-512gb-ssd-14-fhd-display-backlit-keyboard-finger-print-reader-i138311726.html,79999.0,79999.0,0.0,Grey,Lenovo,Thinkbook Gen 4 ,i5,Unknown,512GB SSD
https://www.daraz.com.np/products/dell-latitude-e5400-i5-8th-gen-8-gb-ram-256-gb-ssd-14-screen-i129314954.html,45499.0,65000.0,1.0,Black,Dell,Latitude E5400 I5,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/dell-latitude-e5300-i5-8th-gen-8gb-256-ssd-133-ultrabook-i128496077.html,45000.0,72000.0,5.0,Black,Dell,Latitude E5300 ,i5-8th,Unknown,Unknown
https://www.daraz.com.np/products/dell-vostro-3520-i3-12th-gen-8gb-ram512gb-ssd156-display-i118372728.html,52347.0,58000.0,24.0,Multicolor,Dell,Vostro 3520 I3,Unknown,8GB RAM,512GB SSD
